,(PDH-CSV 4.0) (,\\YUUSUKE-VAIO\Memory\Available Bytes,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Connection Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Database Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Free Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Granted Workspace Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Lock Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Optimizer Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Reserved Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\SQL Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Stolen Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Log Pool Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Total Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Buffer cache hit ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Hit Ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Pages
0,07/22/2016 20:39:05,,1144,69560,40176,0,768,1008,0,1608,,1400,,100,4961,58,260
1,07/22/2016 20:39:20,,1144,69560,40936,0,768,1008,0,1608,196696,1400,307192,100,4976,57.89707187,211
2,07/22/2016 20:39:35,,1144,69560,40472,0,768,1008,0,1608,,1400,307440,100,4991,57.79450841,260
3,07/22/2016 20:39:50,1623695360,1144,69560,40272,0,768,1008,0,1608,197688,1400,307520,100,5006,57.83185841,260
4,07/22/2016 20:40:05,1608507392,1144,69560,40272,0,768,1008,0,1608,,1400,307520,100,5021,57.90636042,260
5,07/22/2016 20:40:20,,1144,69560,40872,0,768,1008,0,1608,196760,1400,307192,100,5036,57.89241623,211
6,07/22/2016 20:40:35,1603420160,1144,69560,40376,0,768,1008,0,1608,197504,1400,307440,100,5052,57.87852113,260
7,07/22/2016 20:40:50,,1088,69560,41728,0,768,1008,0,1608,,1400,308648,100,5066,57.82761653,260
8,07/22/2016 20:41:05,1604128768,1088,69560,41728,0,768,1008,0,1608,197360,1400,308648,100,5081,57.90166813,260
9,07/22/2016 20:41:20,,1088,69560,41536,0,768,1008,0,1608,197784,1400,308880,100,5096,57.8878177,274
10,07/22/2016 20:41:50,,1088,69560,41592,0,768,,0,1608,197264,1400,308416,100,5111,57.87401575,260
11,07/22/2016 20:42:05,1607237632,1112,69560,40944,0,768,1008,0,1608,196672,1400,307176,100,5126,57.82342657,211
12,07/22/2016 20:42:20,1602240512,1112,69560,40744,0,768,1008,0,1608,197368,1400,307672,100,5141,55.97098214,260
13,07/22/2016 20:42:35,1612705792,1112,69560,40280,0,768,1008,0,1608,197864,1400,307704,100,5156,55.95768374,274
14,07/22/2016 20:42:50,1611104256,1112,69560,41056,0,768,1008,0,1608,196576,1400,307192,100,5171,55.94444444,211
15,07/22/2016 20:43:05,1612128256,1120,69560,40968,0,768,1008,0,1608,196664,1400,307192,100,5186,55.88235294,211
16,07/22/2016 20:43:20,1609388032,1120,69560,40808,0,768,1008,0,,197400,1400,307768,100,5202,55.86932447,260
17,07/22/2016 20:43:35,1608552448,1120,69560,40512,0,768,1008,0,1608,198408,1400,308480,100,5216,55.79470199,307
18,07/22/2016 20:43:50,1614209024,1120,69560,40512,0,768,1008,0,1608,198408,1400,308480,100,5231,55.89207048,307
19,07/22/2016 20:44:05,1652297728,1120,69560,40648,0,768,1008,0,1608,197624,1400,307832,100,5246,55.83058306,260
20,07/22/2016 20:44:20,1651372032,1120,69560,40248,0,768,1008,0,1608,197416,1400,307224,100,5261,55.70801317,260
21,07/22/2016 20:44:35,1645531136,1120,69560,39832,0,768,1008,0,1608,197928,1400,307320,100,5276,55.69550931,274
22,07/22/2016 20:44:50,1660200082,1120,69560,39876.57143,0,768,1008,0,1608,198126.8571,1400,307563.4286,100,5290.857143,55.68932614,288.7142857
23,07/22/2016 20:45:05,1668340151,1120,69560,39719.71429,0,768,1008,0,,198235.4286,1400,307515.1429,100,5305.785714,55.65906641,293.7857143
24,07/22/2016 20:45:20,1676480219,1120,69560,39562.85714,0,768,1008,0,1608,198344,1400,307466.8571,100,5320.714286,55.62880668,298.8571429
25,07/22/2016 20:45:35,1684620288,1120,69560,39406,0,768,1008,0,1608,198452.5714,1400,307418.5714,100,5335.642857,55.59854695,303.9285714
26,07/22/2016 20:45:50,1692760357,1120,69560,39249.14286,0,768,1008,0,1608,198561.1429,1400,307370.2857,100,5350.571429,55.56828723,309
27,07/22/2016 20:46:05,1700900425,1120,69560,39092.28571,0,768,1008,0,1608,198669.7143,1400,307322,100,5365.5,55.5380275,314.0714286
28,07/22/2016 20:46:20,1709040494,1120,69560,38935.42857,0,768,1008,0,1608,198778.2857,1400,307273.7143,100,5380.428571,55.50776777,319.1428571
29,07/22/2016 20:46:35,1717180562,1120,69560,38778.57143,0,768,1008,0,1608,198886.8571,1400,307225.4286,100,5395.357143,55.47750804,324.2142857
30,07/22/2016 20:46:50,1725320631,1120,69560,38621.71429,0,768,1008,0,,198995.4286,1400,307177.1429,100,5410.285714,55.44724831,329.2857143
31,07/22/2016 20:47:05,1733460699,1120,69560,38464.85714,0,768,1008,0,1608,199104,1400,307128.8571,100,5425.214286,55.41698858,334.3571429
32,07/22/2016 20:47:20,1741600768,1120,69560,38308,0,768,1008,0,1608,199212.5714,1400,307080.5714,100,5440.142857,55.38672885,339.4285714
33,07/22/2016 20:47:50,1749740837,1120,69560,38151.14286,0,768,1008,0,1608,199321.1429,1400,307032.2857,100,5455.071429,55.35646912,344.5
34,07/22/2016 20:47:05,1757880905,1120,69560,37994.28571,0,768,1008,0,1608,199429.7143,1400,306984,100,5470,55.32620939,349.5714286
35,07/22/2016 20:48:20,1766020974,1120,69560,37837.42857,0,768,1008,0,1608,199538.2857,1400,306935.7143,100,5484.928571,55.29594966,354.6428571
36,07/22/2016 20:48:35,1774161042,1120,69560,37680.57143,0,768,1008,0,1608,199646.8571,1400,306887.4286,100,5499.857143,55.26568993,359.7142857
37,07/22/2016 20:48:50,1782301111,1120,69560,37523.71429,0,768,1008,0,,199755.4286,1400,306839.1429,100,5514.785714,55.2354302,364.7857143
38,07/22/2016 20:48:05,1790441179,1120,69560,37366.85714,0,768,1008,0,1608,199864,1400,306790.8571,100,5529.714286,55.20517047,369.8571429
39,07/22/2016 20:49:20,1798581248,1120,69560,37210,0,768,1008,0,1608,199972.5714,1400,306742.5714,100,5544.642857,55.17491074,374.9285714
40,07/22/2016 20:49:35,1806721317,1120,69560,37053.14286,0,768,1008,0,1608,200081.1429,1400,306694.2857,100,5559.571429,55.14465101,380
