(PDH-CSV 4.0) (,\\YUUSUKE-VAIO\Memory\Available Bytes,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Connection Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Database Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Free Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Granted Workspace Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Lock Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Optimizer Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Reserved Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\SQL Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Stolen Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Log Pool Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Total Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Buffer cache hit ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Hit Ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Pages
07/22/2016 20:39:05,9303902745.1,1144,69560,40176.0,0,768,1008.0,0,1608.0,299861.875757,1400,262388.25765,100,4961.0,58.0,260.0
07/22/2016 20:39:20,9303902745.1,1144,69560,40936.0,0,768,1008.0,0,1608.0,196696.0,1400,307192.0,100,4976.0,57.89707187,211.0
07/22/2016 20:39:35,9303902745.1,1144,69560,40472.0,0,768,1008.0,0,1608.0,299861.875757,1400,307440.0,100,4991.0,57.79450841,260.0
07/22/2016 20:39:50,1623695360.0,1144,69560,40272.0,0,768,1008.0,0,1608.0,197688.0,1400,307520.0,100,5006.0,57.83185841,260.0
07/22/2016 20:40:05,1608507392.0,1144,69560,40272.0,0,768,1008.0,0,1608.0,299861.875757,1400,307520.0,100,5021.0,57.90636042,260.0
07/22/2016 20:40:20,9303902745.1,1144,69560,40872.0,0,768,1008.0,0,1608.0,196760.0,1400,307192.0,100,5036.0,57.89241623,211.0
07/22/2016 20:40:35,1603420160.0,1144,69560,40376.0,0,768,1008.0,0,1608.0,197504.0,1400,307440.0,100,5052.0,57.87852113,260.0
07/22/2016 20:40:50,9303902745.1,1088,69560,41728.0,0,768,1008.0,0,1608.0,299861.875757,1400,308648.0,100,5066.0,57.82761653,260.0
07/22/2016 20:41:05,1604128768.0,1088,69560,41728.0,0,768,1008.0,0,1608.0,197360.0,1400,308648.0,100,5081.0,57.90166813,260.0
07/22/2016 20:41:20,9303902745.1,1088,69560,41536.0,0,768,1008.0,0,1608.0,197784.0,1400,308880.0,100,5096.0,57.8878177,274.0
07/22/2016 20:41:50,9303902745.1,1088,69560,41592.0,0,768,1008.0,0,1608.0,197264.0,1400,308416.0,100,5111.0,57.87401575,260.0
07/22/2016 20:42:05,1607237632.0,1112,69560,40944.0,0,768,1008.0,0,1608.0,196672.0,1400,307176.0,100,5126.0,57.82342657,211.0
07/22/2016 20:42:20,1602240512.0,1112,69560,40744.0,0,768,1008.0,0,1608.0,197368.0,1400,307672.0,100,5141.0,55.97098214,260.0
07/22/2016 20:42:35,1612705792.0,1112,69560,40280.0,0,768,1008.0,0,1608.0,197864.0,1400,307704.0,100,5156.0,55.95768374,274.0
07/22/2016 20:42:50,1611104256.0,1112,69560,41056.0,0,768,1008.0,0,1608.0,196576.0,1400,307192.0,100,5171.0,55.94444444,211.0
07/22/2016 20:43:05,1612128256.0,1120,69560,40968.0,0,768,1008.0,0,1608.0,196664.0,1400,307192.0,100,5186.0,55.88235294,211.0
07/22/2016 20:43:20,1609388032.0,1120,69560,40808.0,0,768,1008.0,0,1608.0,197400.0,1400,307768.0,100,5202.0,55.86932447,260.0
07/22/2016 20:43:35,1608552448.0,1120,69560,40512.0,0,768,1008.0,0,1608.0,198408.0,1400,308480.0,100,5216.0,55.79470199,307.0
07/22/2016 20:43:50,1614209024.0,1120,69560,40512.0,0,768,1008.0,0,1608.0,198408.0,1400,308480.0,100,5231.0,55.89207048,307.0
07/22/2016 20:44:05,1652297728.0,1120,69560,40648.0,0,768,1008.0,0,1608.0,197624.0,1400,307832.0,100,5246.0,55.83058306,260.0
07/22/2016 20:44:20,1651372032.0,1120,69560,40248.0,0,768,1008.0,0,1608.0,197416.0,1400,307224.0,100,5261.0,55.70801317,260.0
