"(PDH-CSV 4.0) (","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Database Cache Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Connection Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Free Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Lock Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Optimizer Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\SQL Cache Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Stolen Server Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Total Server Memory (KB)","\\YUUSUKE-VAIO\Memory\Page Faults/sec","\\YUUSUKE-VAIO\Memory\Available Bytes","\\YUUSUKE-VAIO\Memory\Committed Bytes","\\YUUSUKE-VAIO\Memory\Commit Limit","\\YUUSUKE-VAIO\Memory\Write Copies/sec","\\YUUSUKE-VAIO\Memory\Transition Faults/sec","\\YUUSUKE-VAIO\Memory\Cache Faults/sec","\\YUUSUKE-VAIO\Memory\Demand Zero Faults/sec","\\YUUSUKE-VAIO\Memory\Pages/sec","\\YUUSUKE-VAIO\Memory\Pages Input/sec","\\YUUSUKE-VAIO\Memory\Page Reads/sec","\\YUUSUKE-VAIO\Memory\Pages Output/sec","\\YUUSUKE-VAIO\Memory\Pool Paged Bytes","\\YUUSUKE-VAIO\Memory\Pool Nonpaged Bytes","\\YUUSUKE-VAIO\Memory\Page Writes/sec","\\YUUSUKE-VAIO\Memory\Pool Paged Allocs","\\YUUSUKE-VAIO\Memory\Pool Nonpaged Allocs","\\YUUSUKE-VAIO\Memory\Free System Page Table Entries","\\YUUSUKE-VAIO\Memory\Cache Bytes","\\YUUSUKE-VAIO\Memory\Cache Bytes Peak","\\YUUSUKE-VAIO\Memory\Pool Paged Resident Bytes","\\YUUSUKE-VAIO\Memory\System Code Total Bytes","\\YUUSUKE-VAIO\Memory\System Code Resident Bytes","\\YUUSUKE-VAIO\Memory\System Driver Total Bytes","\\YUUSUKE-VAIO\Memory\System Driver Resident Bytes","\\YUUSUKE-VAIO\Memory\System Cache Resident Bytes","\\YUUSUKE-VAIO\Memory\% Committed Bytes In Use","\\YUUSUKE-VAIO\Memory\Available KBytes","\\YUUSUKE-VAIO\Memory\Available MBytes","\\YUUSUKE-VAIO\Memory\Transition Pages RePurposed/sec","\\YUUSUKE-VAIO\Memory\Free & Zero Page List Bytes","\\YUUSUKE-VAIO\Memory\Modified Page List Bytes","\\YUUSUKE-VAIO\Memory\Standby Cache Reserve Bytes","\\YUUSUKE-VAIO\Memory\Standby Cache Normal Priority Bytes","\\YUUSUKE-VAIO\Memory\Standby Cache Core Bytes","\\YUUSUKE-VAIO\Memory\Long-Term Average Standby Cache Lifetime (s)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Target Server Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Temporary Tables & Table Variables)\Cache Hit Ratio","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Temporary Tables & Table Variables)\Cache Pages","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Temporary Tables & Table Variables)\Cache Object Counts","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Temporary Tables & Table Variables)\Cache Objects in use","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Extended Stored Procedures)\Cache Hit Ratio","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Extended Stored Procedures)\Cache Pages","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Extended Stored Procedures)\Cache Object Counts","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Extended Stored Procedures)\Cache Objects in use","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Bound Trees)\Cache Hit Ratio","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Bound Trees)\Cache Pages","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Bound Trees)\Cache Object Counts","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Bound Trees)\Cache Objects in use","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(SQL Plans)\Cache Hit Ratio","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(SQL Plans)\Cache Pages","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(SQL Plans)\Cache Object Counts","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(SQL Plans)\Cache Objects in use","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Object Plans)\Cache Hit Ratio","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Object Plans)\Cache Pages","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Object Plans)\Cache Object Counts","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(Object Plans)\Cache Objects in use","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Hit Ratio","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Pages","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Object Counts","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Objects in use","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Buffer cache hit ratio","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Lazy writes/sec","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy","\\YUUSUKE-VAIO\Memory\Available MBytes","\\YUUSUKE-VAIO\Memory\Page Reads/sec","\\YUUSUKE-VAIO\Memory\Page Writes/sec","\\YUUSUKE-VAIO\Memory\Page Faults/sec","\\YUUSUKE-VAIO\Memory\System Cache Resident Bytes","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Lazy writes/sec","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Latches\Total Latch Wait Time (ms)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Granted Workspace Memory (KB)","\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Reserved Server Memory (KB)"
"11/28/2016 21:37:50.829","723960","1360","33984","15576","1016","1696","290624","1048568"," ","734642176","6822453248","10651525120"," "," "," "," "," "," "," "," ","388800512","212369408"," ","234410","203451","12275928","103354368","251469824","175353856","0","0","20398080","25980928","103354368","64.051421473810493","717424","700"," ","110030848","26652672","142643200","325595136","156372992","523","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","78.932584269662925","1434","29","6","94.858342077649525","75","4","0","86.047386235426842","1857","57","6","99.996835392965082"," ","11","700"," "," "," ","103354368"," ","11"," ","0","0"
"11/28/2016 21:38:00.417","724912","1360","32968","15576","1016","1696","290688","1048568","2057.7158638331721","722296832","6833328128","10651525120","0","192.45124797344769","60.290960069730495","1785.2591377049089","80.005478154815378","80.005478154815378","34.526484053772997","0","388804608","212217856","0","234594","203308","12275168","102969344","251469824","175374336","0","0","20398080","25980928","102969344","64.153518402442629","705368","688","0","94154752","26058752","143392768","328531968","156217344","522","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","78.991596638655466","1434","29","6","94.858342077649525","75","4","0","86.057872980082678","1857","57","6","99.998159222639714","1.1474058144758399","11","688","34.526484053772997","0","2057.7158638331721","102969344","1.1474058144758399","11","676.86512092124769","0","0"
"11/28/2016 21:38:10.420","723120","1360","34752","15576","1016","1696","290696","1048568","2197.888185750528","719777792","6838734848","10651525120","31.389834000075766","693.47540910358464","47.684556745338028","1444.6321373729136","29.390481515994509","29.390481515994509","5.5981869554275248","0","383328256","212373504","0","234233","203509","12275087","104828928","251469824","169930752","0","0","20398080","25980928","104828928","64.204278457355784","702908","686","0","92999680","26120192","145530880","325066752","156180480","519","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","79.050279329608941","1434","29","6","94.858342077649525","75","4","0","86.068343972962822","1857","57","6","99.998207020947376","1.0996438662446923","11","686","5.5981869554275248","0","2197.888185750528","104828928","1.0996438662446923","11","958.18967799594338","0","0"
"11/28/2016 21:38:20.426","723912","1360","34096","15576","1016","1696","290560","1048568","1164.2507649821871","716718080","6842462208","10651525120","10.892989989962093","249.53941288931512","5.2965914630090918","896.52305688027468","8.9942119183173244","8.9942119183173244","1.6989066956821615","0","383328256","212336640","0","234229","203875","12275366","104972288","251469824","169918464","0","0","20398080","25980928","104972288","64.239272131576215","699920","683","0","90226688","26607616","145924096","324608000","155959296","516","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","79.108635097493035","1434","29","6","94.858342077649525","75","4","0","86.07879924953096","1857","57","6","99.998793156267695","1.5989710077008579","9","683","1.6989066956821615","0","1164.2507649821871","104972288","1.5989710077008579","9","929.70170529006748","0","0"
"11/28/2016 21:38:30.417","723784","1360","33528","15576","1016","1696","291256","1048568","1777.9140200723104","825888768","6842830848","10651525120","10.909904193429142","311.08240580897041","2.101908147357908","1451.7178937751951","309.08058852577238","9.8089046876702373","1.6014538265584062","299.27168383810215","383324160","213037056","10.009086415990039","234110","204218","12275710","104288256","251469824","169902080","0","0","20398080","25980928","104288256","64.24273304441121","806532","787","0","187338752","782336","158027776","324562944","155959296","554","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","79.166666666666657","1434","29","6","94.858342077649525","75","4","0","86.089238845144351","1857","57","6","99.994929188790309","6.9062696270331259","10","787","1.6014538265584062","10.009086415990039","1777.9140200723104","104288256","6.9062696270331259","10","1036.7411709682481","0","0"
"11/28/2016 21:38:40.421","724968","1360","32752","15576","1016","1696","290848","1048568","1516.2996528345643","827498496","6842605568","10651525120","10.896404414488892","193.03630205851422","8.7970971419726833","1311.0673751928607","5.6981197396868515","5.6981197396868515","4.1986145450324166","0","383315968","213004288","0","234058","203958","12275266","102981632","251469824","169881600","0","0","20398080","25980928","102981632","64.24061804212316","808104","789","0","187379712","1028096","158171136","325976064","155971584","597","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","79.22437673130193","1434","29","6","94.858342077649525","75","4","0","86.099662795054329","1857","57","6","99.993782948089446","10.596503375558004","7","789","4.1986145450324166","0","1516.2996528345643","102981632","10.596503375558004","7","936.69091159413688","0","0"
"11/28/2016 21:38:50.415","724848","1360","32728","15576","1016","1696","290992","1048568","1911.9932909802631","825995264","6845300736","10651525120","20.111499894658689","380.91781143763995","15.909096931595679","1507.0617483251201","8.2046914993134941","8.2046914993134941","3.101773615594126","0","383307776","213106688","0","233978","204071","12275939","103583744","251469824","169902080","0","0","20398080","25980928","103583744","64.265921160405611","806636","787","0","186204160","1495040","158081024","325746688","155963392","600","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","79.281767955801115","1434","29","6","94.869109947643977","75","4","0","86.120463898241667","1857","57","6","99.998612834792326","1.3007437742814076","9","787","3.101773615594126","0","1911.9932909802631","103583744","1.3007437742814076","9","823.07063747991231","0","0"
"11/28/2016 21:39:00.417","724696","1360","32752","15576","1016","1696","291120","1048568","2263.3655305052544","817844224","6850584576","10651525120","12.896954522513266","274.63514785537939","139.2671135648138","1844.7643786776339","137.56751490680816","137.56751490680816","2.0995042245951829","0","388812800","213172224","0","233678","204066","12276003","104763392","251469824","175407104","0","0","20398080","25980928","104763392","64.315527577707115","798676","779","0","173940736","2445312","162406400","325632000","155865088","601","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","79.338842975206617","1434","29","6","94.869109947643977","75","4","0","86.130841121495322","1857","57","6","99.997520747570064","3.3991973160112483","10","779","2.0995042245951829","0","2263.3655305052544","104763392","3.3991973160112483","10","936.97874251933581","0","0"
"11/28/2016 21:39:10.417","725272","1360","32720","15576","1016","1696","290576","1048568","2219.6512659470404","818163712","6836707328","10651525120","25.10057973295671","706.1163087426587","83.101919354928384","1383.4319522937176","98.602277357351852","98.602277357351852","62.701448177545245","0","388775936","213114880","0","234688","204037","12274783","104517632","251469824","175415296","0","0","20398080","25980928","104517632","64.185243436763358","798988","780","0","177033216","3715072","159481856","325591040","156057600","601","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","79.395604395604394","1434","29","6","94.869109947643977","75","4","0","86.141202838998879","1857","57","6","99.998804549333485","0.60001385815832775","8","780","62.701448177545245","0","2219.6512659470404","104517632","0.60001385815832775","8","730.51687230776406","0","0"
"11/28/2016 21:39:20.423","724536","1360","32928","15576","1016","1696","291104","1048568","2265.0251872438193","807014400","6854578176","10651525120","32.581662226602177","723.79263142654281","12.093193648524121","1492.4600062265347","41.576599651124248","41.576599651124248","8.2953311803925782","0","388808704","213278720","0","235115","204184","12275701","103534592","251469824","175456256","0","0","20398080","26120192","103534592","64.353020800086142","788100","769","0","162680832","5705728","160907264","327581696","155844608","601","1048576","87.407407407407405","3","0","0","92.523364485981304","6","4","0","80.452127659574472","339","20","0","79.452054794520549","1434","29","6","94.869109947643977","75","4","0","86.151549085479658","1857","57","6","99.997659184249116","2.6984812273566221","11","769","8.2953311803925782","0","2265.0251872438193","103534592","2.6984812273566221","11","915.78457356550848","0","0"
