(PDH-CSV 4.0) (,Memory Manager\Database Cache Memory (MB),Memory Manager\Stolen Server Memory (MB),Memory Manager\Free Memory (MB),Memory Manager\Total Server Memory (MB),Memory Manager\Connection Memory (MB),Memory Manager\Lock Memory (MB),Memory Manager\Optimizer Memory (MB),Memory Manager\SQL Cache Memory (MB),Plan Cache(_Total)\Cache Memory (MB),Memory Manager\Reserved Server Memory (MB),Memory Manager\Granted Workspace Memory (MB),Buffer Manager\Page life expectancy,Buffer Manager\Lazy writes/sec,Buffer Manager\Buffer cache hit ratio,Plan Cache(_Total)\Cache Hit Ratio
11/28/2016 21:37:50.829,678.537912326,283.8125,45.837358941,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,11, ,99.996835393,86.0473862354
11/28/2016 21:38:00.417,707.921875,283.875,32.1953125,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,11,1.1474058144758399,99.9981592226,86.0578729801
11/28/2016 21:38:10.420,706.171875,283.8828125,33.9375,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,11,1.0996438662446923,99.9982070209,86.068343973
11/28/2016 21:38:20.426,706.9453125,283.75,33.296875,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,9,1.5989710077008579,99.9987931563,86.0787992495
11/28/2016 21:38:30.417,706.8203125,284.4296875,32.7421875,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,10,6.9062696270331259,99.9949291888,86.0892388451
11/28/2016 21:38:40.421,707.9765625,284.03125,31.984375,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,7,10.596503375558004,99.9937829481,86.0996627951
11/28/2016 21:38:50.415,707.859375,284.171875,31.9609375,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,9,1.3007437742814076,99.9986128348,86.1204638982
11/28/2016 21:39:00.417,707.7109375,284.296875,31.984375,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,10,3.3991973160112483,99.9975207476,86.1308411215
11/28/2016 21:39:10.417,708.2734375,283.765625,31.953125,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,8,0.60001385815832775,99.9988045493,86.141202839
11/28/2016 21:39:20.423,707.5546875,284.28125,32.15625,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,11,2.6984812273566221,99.9976591842,86.1515490855
11/28/2016 21:39:30.429,707.53125,284.3125,32.1484375,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,9,2.1984885330802113,99.9986437212,86.1618798956
11/28/2016 21:39:40.424,708.25,283.6640625,32.078125,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,10,0.50029214755392282,99.9992183057,86.1721953038
11/28/2016 21:39:50.428,708.140625,283.8515625,32.0,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,9,1.3993654447769197,99.9983158702,86.1927800521
11/28/2016 21:40:00.417,708.046875,283.7734375,32.171875,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,9,1.3014929142592244,99.9986338225,86.2030494608
11/28/2016 21:40:10.427,708.3125,283.734375,31.9453125,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,11,2.0977574531951446,99.9984074449,86.2133036046
11/28/2016 21:40:20.425,708.1328125,283.7265625,32.1328125,1023.9921875,1.328125,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,9,2.0004716198559147,99.9991778382,86.2235425176
11/28/2016 21:40:30.416,706.921875,284.78125,32.2890625,1023.9921875,1.34375,15.2109375,0.9921875,1.65625,14.5078125,0.0,0.0,9,2.9026832749845166,99.9972720546,86.2337662338
11/28/2016 21:40:40.427,699.8359375,292.140625,32.015625,1023.9921875,1.3359375,15.2109375,0.9921875,1.65625,14.5625,0.0,0.0,9,4.4947021569023828,99.9976875863,86.2439747868
11/28/2016 21:40:50.424,40.484375,272.0625,710.875,1023.421875,1.203125,14.546875,0.9921875,1.6484375,2.8203125,0.0,0.0,1,92.228768889816635,66.2011173184,86.1902998889
11/28/2016 21:41:00.428,208.8359375,269.7265625,545.4296875,1023.9921875,1.2421875,14.5546875,0.9921875,1.65625,2.9140625,0.0,0.0,12,0,99.4425863991,86.1902998889
11/28/2016 21:41:10.428,371.390625,269.734375,382.8671875,1023.9921875,1.2421875,14.5546875,0.9921875,1.65625,2.9140625,0.0,0.0,21,0,99.399759904,86.200517943
11/28/2016 21:41:20.417,558.84375,269.734375,195.4140625,1023.9921875,1.2421875,14.5546875,0.9921875,1.65625,2.9140625,0.0,0.0,31,0,99.3971061093,86.2107208872
11/28/2016 21:41:30.417,649.6796875,269.8203125,104.4921875,1023.9921875,1.3046875,14.5546875,0.9921875,1.65625,2.921875,0.0,0.0,41,0,100.0,86.2209087551
11/28/2016 21:41:40.415,649.6796875,269.8203125,104.4921875,1023.9921875,1.3046875,14.5546875,0.9921875,1.65625,2.921875,0.0,0.0,51,0,100.0,86.2310815799
11/28/2016 21:41:50.417,650.1171875,269.96875,103.90625,1023.9921875,1.3046875,14.5546875,0.9921875,1.65625,3.03125,0.0,0.0,61,0,99.9704316972,86.1776631036
11/28/2016 21:42:00.419,650.1171875,269.9765625,103.8984375,1023.9921875,1.3046875,14.5625,0.9921875,1.65625,3.03125,0.0,0.0,71,0,100.0,86.1878453039
11/28/2016 21:42:10.415,650.1171875,270.203125,103.671875,1023.9921875,1.3046875,14.625,0.9921875,1.65625,3.03125,0.0,0.0,81,0,100.0,86.1980125138
11/28/2016 21:42:20.416,650.1171875,270.203125,103.671875,1023.9921875,1.3046875,14.625,0.9921875,1.65625,3.03125,0.0,0.0,91,0,100.0,86.2081647665
