full_path_x,timestamp_x,elapsed_time_x,folder,file_x,row_number_x,elapsed_time_y,datediff
\\192.168.100.1\C$\work\gomi\temp1\file_1.txt,2016/6/22 18:50:22,5,temp1,file_1.txt,0,0.0,5.0
\\192.168.100.1\C$\work\gomi\temp1\file_10.txt,2016/6/22 18:50:22,35,temp1,file_10.txt,1,5.0,30.0
\\192.168.100.1\C$\work\gomi\temp1\file_11.txt,2016/6/22 18:51:29,57,temp1,file_11.txt,2,35.0,22.0
\\192.168.100.1\C$\work\gomi\temp1\file_12.txt,2016/6/22 18:52:36,73,temp1,file_12.txt,3,57.0,16.0
\\192.168.100.1\C$\work\gomi\temp1\file_13.txt,2016/6/22 18:53:43,103,temp1,file_13.txt,4,73.0,30.0
\\192.168.100.1\C$\work\gomi\temp1\file_14.txt,2016/6/22 18:54:50,118,temp1,file_14.txt,5,103.0,15.0
\\192.168.100.1\C$\work\gomi\temp1\file_2.txt,2016/6/22 18:55:22,137,temp1,file_2.txt,6,118.0,19.0
\\192.168.100.1\C$\work\gomi\temp1\file_3.txt,2016/6/22 19:00:22,152,temp1,file_3.txt,7,137.0,15.0
\\192.168.100.1\C$\work\gomi\temp1\file_4.txt,2016/6/22 19:50:22,178,temp1,file_4.txt,8,152.0,26.0
\\192.168.100.1\C$\work\gomi\temp1\file_5.txt,2016/6/22 19:50:22,189,temp1,file_5.txt,9,178.0,11.0
\\192.168.100.1\C$\work\gomi\temp1\file_6.txt,2016/6/22 19:50:52,216,temp1,file_6.txt,10,189.0,27.0
\\192.168.100.1\C$\work\gomi\temp1\file_7.txt,2016/6/22 20:50:00,246,temp1,file_7.txt,11,216.0,30.0
\\192.168.100.1\C$\work\gomi\temp1\file_8.txt,2016/6/22 20:50:23,261,temp1,file_8.txt,12,246.0,15.0
\\192.168.100.1\C$\work\gomi\temp1\file_10.txt,2016/6/22 20:50:24,278,temp1,file_10.txt,13,261.0,17.0
\\192.168.100.1\C$\work\gomi\temp2\file_15.txt,2016/6/22 18:55:57,1,temp2,file_15.txt,0,0.0,1.0
\\192.168.100.1\C$\work\gomi\temp2\file_16.txt,2016/6/22 18:57:04,18,temp2,file_16.txt,1,1.0,17.0
\\192.168.100.1\C$\work\gomi\temp2\file_17.txt,2016/6/22 18:58:12,30,temp2,file_17.txt,2,18.0,12.0
\\192.168.100.1\C$\work\gomi\temp2\file_18.txt,2016/6/22 18:59:19,59,temp2,file_18.txt,3,30.0,29.0
\\192.168.100.1\C$\work\gomi\temp2\file_19.txt,2016/6/22 19:00:26,77,temp2,file_19.txt,4,59.0,18.0
\\192.168.100.1\C$\work\gomi\temp2\file_20.txt,2016/6/22 19:03:31,102,temp2,file_20.txt,5,77.0,25.0
\\192.168.100.1\C$\work\gomi\temp3\file_20.txt,2016/6/22 19:05:37,3,temp3,file_20.txt,0,0.0,3.0
\\192.168.100.1\C$\work\gomi\temp3\file_19.txt,2016/6/22 19:27:43,26,temp3,file_19.txt,1,3.0,23.0
\\192.168.100.1\C$\work\gomi\temp3\file_18.txt,2016/6/22 19:49:49,53,temp3,file_18.txt,2,26.0,27.0
\\192.168.100.1\C$\work\gomi\temp3\file_17.txt,2016/6/22 20:11:55,64,temp3,file_17.txt,3,53.0,11.0
\\192.168.100.1\C$\work\gomi\temp3\file_16.txt,2016/6/22 20:34:01,86,temp3,file_16.txt,4,64.0,22.0
\\192.168.100.1\C$\work\gomi\temp6\file_16.txt,2016/6/22 21:09:21,9,temp6,file_16.txt,0,0.0,9.0
\\192.168.100.1\C$\work\gomi\temp6\file_30.txt,2016/6/22 21:22:28,16,temp6,file_30.txt,1,9.0,7.0
\\192.168.100.1\C$\work\gomi\temp6\file_24.txt,2016/6/22 21:35:35,28,temp6,file_24.txt,2,16.0,12.0
\\192.168.100.1\C$\work\gomi\temp6\file_18.txt,2016/6/22 21:48:42,31,temp6,file_18.txt,3,28.0,3.0
\\192.168.100.1\C$\work\gomi\temp6\file_12.txt,2016/6/22 22:01:49,32,temp6,file_12.txt,4,31.0,1.0
\\192.168.100.1\C$\work\gomi\temp6\file_2.txt,2016/6/22 22:14:56,48,temp6,file_2.txt,5,32.0,16.0
\\192.168.100.1\C$\work\gomi\temp6\file_17.txt,2016/6/22 22:28:03,57,temp6,file_17.txt,6,48.0,9.0
\\192.168.100.1\C$\work\gomi\temp6\file_12.txt,2016/6/22 22:41:10,64,temp6,file_12.txt,7,57.0,7.0
\\192.168.100.1\C$\work\gomi\temp6\file_1.txt,2016/6/22 22:54:17,78,temp6,file_1.txt,8,64.0,14.0
\\192.168.100.1\C$\work\gomi\temp6\file_16.txt,2016/6/22 23:07:24,85,temp6,file_16.txt,9,78.0,7.0
\\192.168.100.1\C$\work\gomi\temp9\file_12.txt,2016/6/22 20:56:07,11,temp9,file_12.txt,0,0.0,11.0
\\192.168.100.1\C$\work\gomi\tmpp3\file_16.txt,2016/6/22 18:50:22,9,tmpp3,file_16.txt,0,0.0,9.0
\\192.168.100.1\C$\work\gomi\tmpp3\file_33.txt,2016/6/22 18:55:22,39,tmpp3,file_33.txt,1,9.0,30.0
\\192.168.100.1\C$\work\gomi\tmpp3\file_50.txt,2016/6/22 19:00:22,65,tmpp3,file_50.txt,2,39.0,26.0
